direction,route,pattern,length,forward_context_length,samples,metric,median_ms,min_ms,max_ms,sample_stdev_ms,range_percent,material_reduction_ms
forward,1,0,255,255,6,send_ticks,0.0,0.0,16.666666666666668,8.606629658238706,,
forward,1,0,255,255,6,reply_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,1,0,256,256,6,elapsed_us,11.028,11.027000000000001,11.028,0.00040824829046386303,0.009067827348567283,0.5514
forward,1,0,256,256,6,send_ticks,16.666666666666668,0.0,16.666666666666668,8.606629658238706,100.0,33.333333333333336
forward,1,0,256,256,6,reply_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,1,0,257,257,6,elapsed_us,11.027000000000001,11.022,11.028,0.002136976056643281,0.054411898068377616,0.5513500000000001
forward,1,0,257,257,6,send_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,1,0,257,257,6,reply_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,1,0,4095,4095,6,elapsed_us,134.031,133.845,134.035,0.08943302894717738,0.14175824995709949,6.701550000000001
forward,1,0,4095,4095,6,send_ticks,133.33333333333334,116.66666666666667,133.33333333333334,8.606629658238706,12.5,33.33333333333334
forward,1,0,4095,4095,6,reply_ticks,0.0,0.0,16.666666666666668,8.606629658238706,,
forward,1,0,4096,4096,6,elapsed_us,134.028,133.861,134.034,0.06898308971528216,0.12907750619273584,6.7014
forward,1,0,4096,4096,6,send_ticks,133.33333333333334,116.66666666666667,133.33333333333334,6.804138174397718,12.5,33.33333333333334
forward,1,0,4096,4096,6,reply_ticks,8.333333333333334,0.0,16.666666666666668,9.128709291752768,200.0,33.333333333333336
forward,1,0,4097,4097,6,elapsed_us,134.028,134.014,134.029,0.005819507424745385,0.011191691288387502,6.7014
forward,1,0,4097,4097,6,send_ticks,133.33333333333334,116.66666666666667,133.33333333333334,8.606629658238706,12.5,33.33333333333334
forward,1,0,4097,4097,6,reply_ticks,0.0,0.0,16.666666666666668,8.606629658238706,,
forward,1,0,32768,32768,6,elapsed_us,1052.0395,1052.027,1052.098,0.03217918581940818,0.006748796029046438,52.60197500000001
forward,1,0,32768,32768,6,send_ticks,1050.0,1050.0,1050.0,0.0,0.0,52.5
forward,1,0,32768,32768,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,1,0,65535,65535,6,elapsed_us,2101.0935,2101.038,2101.159,0.0551966182538991,0.005758906017271482,105.054675
forward,1,0,65535,65535,6,send_ticks,2100.0,2083.3333333333335,2100.0,6.804138174397718,0.7936507936507936,105.0
forward,1,0,65535,65535,6,reply_ticks,0.0,0.0,16.666666666666668,8.606629658238706,,
forward,1,1,0,0,6,elapsed_us,1.8645,1.843,1.891,0.020333879774078207,2.574416733708769,0.09600000000000009
forward,1,1,0,0,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,1,1,0,0,6,reply_ticks,0.0,0.0,16.666666666666668,8.606629658238706,,
forward,1,1,1,1,6,elapsed_us,2.0995,2.092,2.114,0.007771743691090179,1.047868540128602,0.104975
forward,1,1,1,1,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,1,1,1,1,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,1,1,63,63,6,elapsed_us,4.1555,4.154,4.174,0.00764198926981712,0.48128985681626757,0.20777500000000002
forward,1,1,63,63,6,send_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,1,1,63,63,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,1,1,64,64,6,elapsed_us,4.1855,4.184,4.197,0.005540758070878027,0.3105961056026759,0.20927500000000002
forward,1,1,64,64,6,send_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,1,1,64,64,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,1,1,65,65,6,elapsed_us,5.014,5.013,5.024,0.004273952113286562,0.21938571998404469,0.25070000000000003
forward,1,1,65,65,6,send_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,1,1,65,65,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,1,1,255,255,6,elapsed_us,11.038,11.027000000000001,11.040000000000001,0.0057850381733111035,0.11777495923174489,0.5519000000000001
forward,1,1,255,255,6,send_ticks,16.666666666666668,0.0,16.666666666666668,8.606629658238706,100.0,33.333333333333336
forward,1,1,255,255,6,reply_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
